Comment,Designator,Footprint,LCSC,Quantity
100k,R2,R_0402_1005Metric,C25741,1
100n 50V X7R,"C1,C18,C19,C21,C25,C26,C28,C31,C32,C33,C34,C36,C4,C5,C6",C_0402_1005Metric,C307331,15
10k,"R11,R13,R15,R16,R17,R3,R6,R9",R_0402_1005Metric,C25744,8
10m,R1,R_2512_6332Metric,C108943,1
10u 50V X5R,"C13,C14,C15,C16,C2,C20,C27,C3,C7",C_0805_2012Metric,C440198,9
120R,"R10,R12",R_0805_2012Metric,C25079,2
15k8,R8,R_0402_1005Metric,C26956,1
1u 25V X7R,"C17,C24",C_0402_1005Metric,C52923,2
1u 50V X5R,C35,C_0603_1608Metric,C15849,1
20 MHz,"Y1,Y2",CRYSTAL-SMD_4P-L3.2-W2.5-BL-2,C9004,2
200K,R7,R_0402_1005Metric,C25764,1
22R,R14,R_0402_1005Metric,C25092,1
22u 25V X5R,"C10,C11,C9",C_0805_2012Metric,C45783,3
27p 50V C0G,"C22,C23,C29,C30",C_0402_1005Metric,C3889037,4
2n7 50V X7R,C12,C_0402_1005Metric,C106251,1
3.3 uH @ 8.5A,L1,IND-SMD_L7.0-W6.6,C167219,1
33k,R4,R_0402_1005Metric,C25779,1
47p 50V C0G,C8,C_0402_1005Metric,C1567,1
53k6,R5,R_0402_1005Metric,C53398,1
74AHCT1G125,U8,SOT-23-5,C20617903,1
ADS1115IDGSR,U9,VSSOP-10_3x3mm_P0.5mm,C37593,1
AP64500,U2,SO-8-EP,C2070920,1
GH1.25-4P,"J4,J5",SM04B-GHS-TB-LF-SN,C189895,2
INA180,U1,SOT-23-5,C122228,1
MBR1060CS,D1,TO-252-2_L6.6-W6.1-P4.57-LS10.2-TR-CW,C5220847,1
MCP2518FDT,"U5,U7",DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm,C621395,2
SK6812,"D3,D4,D5,D6",LED-SMD_4P-L2.0-W2.0-BR,C2909058,4
SMBJ28CA,D2,D_SMB,C19077583,1
SPX3819,U3,SOT-23-5,C9055,1
TJA1051TK-3,"U4,U6",HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,C2875699,2
GH1.25-5P,J2,SM05B-GHS-TB-LF-SN,,1
SW_SPST,SW1,SW-SMD_DSIC01LSGET,,1
SW_SPST,SW2,SW-SMD_DSIC01LSGET,,1
