Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n 50V X7R,C_0402_1005Metric,126.0,-85.0,180.0,top
C10,22u 25V X5R,C_0805_2012Metric,129.5,-104.0,0.0,top
C11,22u 25V X5R,C_0805_2012Metric,129.5,-106.5,0.0,top
C12,2n7 50V X7R,C_0402_1005Metric,116.75,-109.0,90.0,top
C13,10u 50V X5R,C_0805_2012Metric,118.75,-113.0,-90.0,top
C14,10u 50V X5R,C_0805_2012Metric,121.0,-113.0,-90.0,top
C15,10u 50V X5R,C_0805_2012Metric,123.0,-118.25,180.0,top
C16,10u 50V X5R,C_0805_2012Metric,123.0,-116.0,180.0,top
C17,1u 25V X7R,C_0402_1005Metric,143.0,-110.5,0.0,top
C18,100n 50V X7R,C_0402_1005Metric,143.0,-109.5,0.0,top
C19,100n 50V X7R,C_0402_1005Metric,145.0,-109.5,180.0,top
C2,10u 50V X5R,C_0805_2012Metric,111.5,-88.4,90.0,top
C20,10u 50V X5R,C_0805_2012Metric,145.5,-112.0,90.0,top
C21,100n 50V X7R,C_0402_1005Metric,136.4,-73.2,-90.0,top
C22,27p 50V C0G,C_0402_1005Metric,139.0,-78.5,180.0,top
C23,27p 50V C0G,C_0402_1005Metric,144.5,-78.0,90.0,top
C24,1u 25V X7R,C_0402_1005Metric,156.0,-110.5,0.0,top
C25,100n 50V X7R,C_0402_1005Metric,156.0,-109.5,0.0,top
C26,100n 50V X7R,C_0402_1005Metric,158.0,-109.5,180.0,top
C27,10u 50V X5R,C_0805_2012Metric,158.5,-112.1,90.0,top
C28,100n 50V X7R,C_0402_1005Metric,158.4,-73.1,-90.0,top
C29,27p 50V C0G,C_0402_1005Metric,161.02,-78.5,180.0,top
C3,10u 50V X5R,C_0805_2012Metric,116.0,-88.4,90.0,top
C30,27p 50V C0G,C_0402_1005Metric,166.5,-78.0,90.0,top
C31,100n 50V X7R,C_0402_1005Metric,169.75,-80.5,90.0,top
C32,100n 50V X7R,C_0402_1005Metric,169.75,-97.5,90.0,top
C33,100n 50V X7R,C_0402_1005Metric,169.75,-89.0,90.0,top
C34,100n 50V X7R,C_0402_1005Metric,169.75,-106.0,90.0,top
C35,1u 25V X7R,C_0402_1005Metric,131.5,-95.48,-90.0,top
C36,100n 50V X7R,C_0402_1005Metric,130.5,-95.5,-90.0,top
C4,100n 50V X7R,C_0402_1005Metric,119.5,-98.0,0.0,top
C6,100n 50V X7R,C_0402_1005Metric,118.0,-99.25,180.0,top
C7,10u 50V X5R,C_0805_2012Metric,113.5,-99.0,180.0,top
C9,22u 25V X5R,C_0805_2012Metric,129.5,-101.5,0.0,top
D1,MBR1060CS,TO-252-2_L6.6-W6.1-P4.57-LS10.2-TR-CW,123.28,-89.0,0.0,top
D2,SMBJ28CA,D_SMB,128.0,-79.5,-90.0,top
D3,SK6812,LED-SMD_4P-L2.0-W2.0-BR,172.0,-79.75,-90.0,top
D4,SK6812,LED-SMD_4P-L2.0-W2.0-BR,172.0,-88.25,-90.0,top
D5,SK6812,LED-SMD_4P-L2.0-W2.0-BR,172.0,-96.75,-90.0,top
D6,SK6812,LED-SMD_4P-L2.0-W2.0-BR,172.0,-105.25,-90.0,top
FID1,Fiducial,Fiducial_1mm_Mask2mm,171.5,-112.0,0.0,top
FID2,Fiducial,Fiducial_1mm_Mask2mm,171.5,-73.0,0.0,top
FID3,Fiducial,Fiducial_1mm_Mask2mm,113.5,-112.0,0.0,top
J1,Raspberry_Pi_5,PinHeader_2x20_P2.54mm_Vertical,142.505,-68.005,90.0,top
J2,GH1.25-5P,SM05B-GHS-TB-LF-SN,133.65,-116.15,0.0,top
J3,XT30 M,XT30PW-M,118.4375,-79.0,-90.0,top
J4,GH1.25-5P,SM05B-GHS-TB-LF-SN,150.0,-116.25,0.0,top
J5,GH1.25-5P,SM05B-GHS-TB-LF-SN,163.0,-116.25,0.0,top
L1,3.3 uH @ 8.5A,IND-SMD_L7.0-W6.6,122.75,-104.0,0.0,top
R1,10m,R_2512_6332Metric,114.75,-94.0,90.0,top
R10,120R,R_0805_2012Metric,150.5,-111.0,90.0,top
R11,10k,R_0402_1005Metric,145.0,-104.5,0.0,top
R12,120R,R_0805_2012Metric,163.5,-111.0,90.0,top
R13,10k,R_0402_1005Metric,158.01,-104.5,0.0,top
R14,22R,R_0402_1005Metric,169.75,-78.5,-90.0,top
R15,10k,R_0402_1005Metric,122.5,-94.0,90.0,top
R16,10k,R_0402_1005Metric,132.0,-91.5,-90.0,top
R17,10k,R_0402_1005Metric,133.0,-91.5,-90.0,top
R2,100k,R_0402_1005Metric,121.5,-97.0,-90.0,top
R3,10k,R_0402_1005Metric,122.5,-97.0,90.0,top
R4,33k,R_0402_1005Metric,129.5,-98.1,180.0,top
R5,53k6,R_0402_1005Metric,114.7,-109.0,-90.0,top
R6,10k,R_0402_1005Metric,129.5,-97.1,0.0,top
R7,200K,R_0402_1005Metric,112.25,-101.0,90.0,top
R8,15k8,R_0402_1005Metric,115.8,-109.0,90.0,top
R9,10k,R_0402_1005Metric,113.6,-109.0,90.0,top
SW1,SW_SPST,SW-SMD_DSIC01LSGET,148.0,-107.0,0.0,top
SW2,SW_SPST,SW-SMD_DSIC01LSGET,161.0,-107.0,0.0,top
U1,INA180,SOT-23-5,118.75,-94.6375,-90.0,top
U2,AP64500,SO-8-EP,115.495,-104.0,180.0,top
U3,SPX3819,SOT-23-5,123.75,-112.5,-90.0,top
U4,TJA1051TK-3,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,144.0,-107.0,0.0,top
U5,MCP2518FDT,DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm,139.46875,-74.5,90.0,top
U6,TJA1051TK-3,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,157.0,-107.0,0.0,top
U7,MCP2518FDT,DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm,161.5,-74.5,90.0,top
U8,74AHCT1G125,SOT-23-5,172.0,-76.0,0.0,top
U9,ADS1115IDGSR,VSSOP-10_3x3mm_P0.5mm,126.5,-95.0,0.0,top
Y1,20 MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL-2,142.0,-78.5,0.0,top
Y2,20 MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL-2,164.0,-78.5,0.0,top
